PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,MATH_CANTIDAD,MATH_CAMBIO_REL,MATH_ESPACIO_FORMA,MATH_DATOS_INCERT,MATH_FORMULACION,MATH_PROCEDIMIENTOS,MATH_INTERPRETACION,MATH_RAZONAMIENTO,MATH_PROMEDIO,MATH_LOGRO
317.795,344.457,402.787,313.796,293.567,307.776,320.149,323.821,337.506,336.226,15.67,0,1,0,1,1,5,8,5,0,2,3,,2,2,2,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,2,341.37579999999997,330.2330999999999,383.416,332.46669999999995,361.5567,350.04789999999997,340.12170000000003,331.764,346.3727375,0
369.852,375.131,300.243,363.264,376.588,318.973,313.766,328.352,357.404,319.514,15.42,1,0,1,1,1,,3,,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1,1,0,1,1,3,3,1,1,1,343.8896,345.6198,360.2299999999999,340.61710000000005,344.46869999999996,340.84149999999994,326.8119,368.47510000000005,346.3692125,0
385.413,362.384,324.236,362.629,358.864,333.942,293.406,387.172,371.406,373.278,15.42,0,1,0,0,0,5,10,0,0,1,3,4,,3,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,1,346.0947,325.32450000000006,385.8304,329.2142,381.5774,364.83299999999997,349.4818,376.5216,357.35970000000003,0
441.019,414.8,381.752,421.051,465.506,397.366,408.791,478.232,431.827,452.067,15.75,1,0,0,0,0,10,6,6,6,,,,,,,,,,,,,,,,,4,4,4,3,,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,2,1,1,1,430.94539999999995,400.66579999999993,426.9112,363.9106,398.54789999999997,393.62440000000004,359.71439999999996,434.0266,401.04328749999996,0
407.479,422.498,475.421,438.764,421.024,456.522,423.935,460.829,475.294,468.512,15.92,1,0,0,0,0,9,10,0,8,2,2,3,,3,3,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,2,2,2,444.3086,432.5067,442.4641,433.27049999999997,444.46950000000004,445.3809,459.4701000000001,416.1387,439.7511375,0
414.201,422.199,431.36,417.395,430.754,416.652,459.664,437.629,463.314,417.996,16.25,1,1,0,0,1,1,3,1,4,3,2,,2,3,3,,,,,,,,,,,4,4,4,3,,,1.0,1.0,1.0,,1,1,0,1,1,0,0,2,2,1,449.4309,472.0667,413.4371,449.2272999999999,458.0153,433.9476000000001,421.37929999999994,433.29119999999995,441.349425,0
514.133,491.487,488.163,505.011,491.561,429.194,495.68,479.699,458.998,444.707,16.08,0,0,0,0,1,10,10,2,10,,2,2,2,3,2,,,,,3,3,3,4,,3,2,2,2,2,1.0,1.0,1.0,1.0,1.0,,1,1,1,1,1,1,0,2,2,3,490.912,467.0316999999999,414.0168,483.83180000000004,417.8532,458.87250000000006,502.36899999999997,466.8203,462.71341249999995,0
395.475,403.927,376.062,367.903,384.759,371.779,390.63,366.897,384.874,427.279,16.0,0,0,1,1,1,0,4,1,8,2,2,,2,3,2,,,4,4,,,4,3,4,,3,2,2,2,,1.0,1.0,1.0,1.0,,0,1,0,1,0,0,1,1,0,1,340.54409999999996,355.7313,401.41600000000005,378.79609999999997,401.1266,383.4702,346.3627,434.1112,380.19477500000005,0
271.227,331.55,347.692,339.937,380.016,290.16,330.874,362.986,330.834,300.127,16.08,1,0,0,0,1,10,10,0,10,1,4,,1,4,1,2,2,,,,2,,,2,2,4,4,4,4,1.0,1.0,1.0,,1.0,1.0,1,0,0,0,1,1,0,3,3,5,352.39759999999995,295.3383,305.602,265.0474,316.0571,329.0087,261.1306000000001,258.1491,297.84135,0
209.586,309.129,325.806,314.896,360.458,316.397,286.951,250.577,267.317,278.506,15.92,0,0,1,0,1,7,10,7,7,3,3,,2,2,2,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,268.18149999999997,247.5792,237.91269999999994,304.49309999999997,251.6187,285.38989999999995,274.1386,296.2033,270.689625,0
